date,verified,summary,review,rating
2014-07-08,TRUE,Good color don't stay,Polish chips very easily  Love the color.,2
2014-03-18,TRUE,Light Weight,This is a light weight conditioner as described.  It is not deep conditioning if you have dry or chemically processed hair.,3
2016-07-21,TRUE,Five Stars,Foams and feels very clean.,5
2013-12-26,TRUE,Wonderful product,"Gorgeous night cream, my skin loves it, it doesn't clog up my pores and my skin is clear and soft and glowing.  Excellent product.",5
2014-09-17,FALSE,Container imposible to use,"The shower gel wash leaves your skin soft and the smell is very pleasant. My husband really liked it but it is way too expensive to use on a regular basis.

The container is the worst one I have ever used. The container is square and very awkward to use. The pump is impossible to use as it stays down when you pump. I you need to pump more then you have to lift it to depress it again.

I cannot recommend this product (even if the soap smells good) as it is very hard to use and way to expensive.",2
2014-02-26,FALSE,Protein Booster Serum by Jack Black,"This protein booster skin serum feels very nice when applied. It has a silky smooth texture and feels good on your face and neck. It's vegan friendly and contains no waxes or harmful chemicals. This is a good face serum, but it does take a while to see results and the results are a reduction of fine wrinkles and an increase in general hydration. It is a great boost for dry winter skin and a little bit goes a long way. This bottle should last a couple of months.

I believe this product probably performs at its finest when used with the other Jack Black high quality products. It's pretty expensive but it is a serum that uses good, quality ingredients. Being a woman who loves beauty products, I find that I can find a less expensive serum that works probably just as well as Jacks. If I had money to invest however, I'd buy his regimen and would use it in good faith as products that are great quality perform with positive results.",3
2012-01-23,TRUE,Love!,"This is the best eye cream.  It may seem a little pricey for such a tiny tube, but it lasts FOREVER.  I'm notorious for using more product than is strictly necessary, and even I only use a dollop slightly smaller than a pencil lead for each eye.  It keeps the area around my eyes moisturized and smooth, and makeup goes over the cream and stays put quite nicely.  Finally, I have very sensitive skin and eyes, and this is one of the only creams I've ever used that doesn't irritate either!",5
2016-07-31,TRUE,One Star,In person it's different then pic,1
2015-02-25,TRUE,Beautiful alone (not a good topper because it covers so ...,"Beautiful alone (not a good topper because it covers so well, in one coat, which is a good thing too)",5
2015-01-31,TRUE,Five Stars,good purchase,5
2013-01-07,TRUE,Just okay,"I love all Oribe products and have numerous ones I use.  In fact, I have just about stopped using all other brands of hair products and switched to Oribe.  As for the shampoo, it smells wonderful (the same smell as all other Oribe products) and leaves my hair very shiny, but does not later well.  I know shampoo does not have to lather, but I am one of those people who feels they don't get their head clean without it.  I find I am using more product than I should to get that lather which makes this very costly.  The results are wonderful, I just don't know if I can justify the cost.  If the bottle were larger for the price or the price was about $10 less I would continue to purchase.",3
2015-05-24,FALSE,Plain useless.,"Awful product. I've used their fibers with great success, but this stuff is useless. All it does is make your hair look dull and straw like. I contacted the company and asked for a refund, but did not get the courtesy of a response. Sorry I bought this product. Does not do what it purports to do.",1
2016-03-15,TRUE,Perfect,Wanted a natural nail polish. And this is the closest anyone makes. I love how it makes my natural nails look beautiful. Don't have to worry when it starts chipping because you barely notice. Made my nails a lot less yellow. Love this product!,5
2014-11-28,TRUE,"Worth the money, transforms skin.",Wonderful cream. It moistures my skin but does not make it greasy. I suffer from occasional rosacea and this cream seems to have reduced my breakouts. The overall texture of my skin has improved. I looked at my photographs from several years ago and noticed that the sun spots I had are gone today. This cream works as well as IPL treatment I used to have. It obviously takes longer to see the results but there is no pain and the cost of the cream compared to that of IPL make it a great investment. I use Nia24 Sun Damage Repair on the rest of my body with equally impressive results. I see no point in taking care of my face and neck while neglecting the rest of my skin.,5
2017-06-15,FALSE,Great,Good coverage-blends well,4
2016-08-24,FALSE,Great gift,"This makes such a great gift, for both women and men. It's packaged so elegantly. As soon as you touch the box, you could see the value and quality. Inside the luxurious leather case. The tools are laid out neatly and separately in their own slot. They are also so well made and well designed - easy to handle and grip on, nice and sturdy. The nail clipper, especially, is a piece of art. It's so compact yet sharp on the nails. Every tool in there is cleverly engineered. I absolutely love it.",5
2016-08-06,TRUE,Even better than the original,"I've been using the regular St. Tropez tanner for years now and have found it to be the most natural looking self tanner on the market. What I didn't love was having to leave it on overnight in order for it transfer onto my skin to get the level of coverage and tan that I prefer. But that's how most self tanners work, so I figured it was worth the hassle.

This new express tanner allows you to apply the product for a few hours (3 at the most if you want a darker tan) and then you shower and go about your business. It will continue working over the course of the next few hours, making your tan deepen as time goes by. Just make sure to exfoliate before using and to apply right after showering on clean skin. Also, I would recommend buying the application mitt. It makes it go on much easier.",5
2016-08-17,TRUE,Good,Its better than anything I bought in the past because it does not create a mess or makes my hair sticky. I am giving it a 4 because it does not stay on for a long. I have to reapply.,4
2015-11-24,FALSE,"Lovely vanilla scent, natural results","I have tried various ZEN-TAN lotions now and they all work excellently.  This one has a vanilla scent, masking any chemical smell there may be.  The pump lotion comes out a medium brown and absorbs quickly into the skin.  The result is a very natural and even tan.  This works well around the face when properly applied.",5
2014-08-04,TRUE,Received product promptly but........,"Product received promptly in a well cushioned envelope.  However quality of nail polish leads me to believe it is either extremely old or had been sitting for a long period of time in extreme temperatures.  Nail polish is extremely watery, not at all glossy even after 3 coats. It is not the quality I am used to when compared to other Essie nail polishes",1
