code2	country	date	type	count	lockdown	population
DK	Denmark	2020-01-22	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-01-22	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-01-23	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-01-23	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-01-24	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-01-24	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-01-25	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-01-25	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-01-26	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-01-26	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-01-27	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-01-27	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-01-28	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-01-28	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-01-29	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-01-29	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-01-30	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-01-30	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-01-31	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-01-31	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-01	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-01	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-02	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-02	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-03	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-03	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-04	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-04	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-05	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-05	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-06	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-06	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-07	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-07	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-08	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-08	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-09	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-09	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-10	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-10	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-11	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-11	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-12	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-12	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-13	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-13	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-14	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-14	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-15	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-15	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-16	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-16	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-17	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-17	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-18	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-18	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-19	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-19	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-20	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-20	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-21	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-21	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-22	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-22	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-23	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-23	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-24	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-24	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-25	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-25	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-26	Confirmed	0	2020-03-11	5837213
DK	Denmark	2020-02-26	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-27	Confirmed	1	2020-03-11	5837213
DK	Denmark	2020-02-27	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-28	Confirmed	1	2020-03-11	5837213
DK	Denmark	2020-02-28	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-02-29	Confirmed	3	2020-03-11	5837213
DK	Denmark	2020-02-29	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-01	Confirmed	4	2020-03-11	5837213
DK	Denmark	2020-03-01	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-02	Confirmed	4	2020-03-11	5837213
DK	Denmark	2020-03-02	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-03	Confirmed	6	2020-03-11	5837213
DK	Denmark	2020-03-03	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-04	Confirmed	10	2020-03-11	5837213
DK	Denmark	2020-03-04	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-05	Confirmed	10	2020-03-11	5837213
DK	Denmark	2020-03-05	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-06	Confirmed	23	2020-03-11	5837213
DK	Denmark	2020-03-06	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-07	Confirmed	23	2020-03-11	5837213
DK	Denmark	2020-03-07	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-08	Confirmed	35	2020-03-11	5837213
DK	Denmark	2020-03-08	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-09	Confirmed	90	2020-03-11	5837213
DK	Denmark	2020-03-09	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-10	Confirmed	262	2020-03-11	5837213
DK	Denmark	2020-03-10	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-11	Confirmed	442	2020-03-11	5837213
DK	Denmark	2020-03-11	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-12	Confirmed	615	2020-03-11	5837213
DK	Denmark	2020-03-12	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-13	Confirmed	801	2020-03-11	5837213
DK	Denmark	2020-03-13	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-14	Confirmed	827	2020-03-11	5837213
DK	Denmark	2020-03-14	Deaths	1	2020-03-11	5837213
DK	Denmark	2020-03-15	Confirmed	864	2020-03-11	5837213
DK	Denmark	2020-03-15	Deaths	2	2020-03-11	5837213
DK	Denmark	2020-03-16	Confirmed	914	2020-03-11	5837213
DK	Denmark	2020-03-16	Deaths	3	2020-03-11	5837213
DK	Denmark	2020-03-17	Confirmed	977	2020-03-11	5837213
DK	Denmark	2020-03-17	Deaths	4	2020-03-11	5837213
DK	Denmark	2020-03-18	Confirmed	1057	2020-03-11	5837213
DK	Denmark	2020-03-18	Deaths	4	2020-03-11	5837213
DK	Denmark	2020-03-19	Confirmed	1151	2020-03-11	5837213
DK	Denmark	2020-03-19	Deaths	6	2020-03-11	5837213
DK	Denmark	2020-03-20	Confirmed	1255	2020-03-11	5837213
DK	Denmark	2020-03-20	Deaths	9	2020-03-11	5837213
DK	Denmark	2020-03-21	Confirmed	1326	2020-03-11	5837213
DK	Denmark	2020-03-21	Deaths	13	2020-03-11	5837213
DK	Denmark	2020-03-22	Confirmed	1395	2020-03-11	5837213
DK	Denmark	2020-03-22	Deaths	13	2020-03-11	5837213
