rank	category	time	bib
1	19 | M	16:30	2170
2	29 | M	16:40	432
3	23 | M	17:22	2218
4	23 | M	17:29	1296
5	20 | M	17:37	959
6	20 | M	17:58	1646
7	24 | M	18:15	2159
8	22 | M	18:28	7
9	40 | F	18:59	381
10	25 | F	19:06	1380
11	16 | M	19:18	2161
12	27 | M	19:19	15
13	36 | M	19:20	115
14	25 | M	19:27	1070
15	34 | M	19:29	494
16	21 | M	19:30	721
17	31 | M	19:33	293
18	18 | F	19:36	1863
19	20 | M	19:39	2237
20	22 | M	19:44	1135
21	20 | M	19:46	1600
22	27 | M	19:50	949
23	20 |	19:55	1925
24	45 | M	19:58	631
25	29 | M	20:05	606
26	28 | M	20:13	709
27	32 | M	20:32	1734
28	18 | M	20:41	1934
29	24 | M	20:46	348
30	14 | M	20:51	497
31	30 | M	20:54	719
32	18 | M	20:58	1218
33	20 | M	21:05	1106
34	28 | M	21:06	2229
35	19 | M	21:09	1738
36	20 | M	21:22	1840
37	19 | F	21:28	961
38	32 | M	21:33	120
39	22 | M	21:46	1061
40	46 | F	21:51	1700
41	19 | M	21:55	1808
42	19 | M	22:00	2238
43	19 | M	22:08	714
44	22 | F	22:24	273
45	19 | F	22:25	1898
46	26 | M	22:27	1586
47	37 | M	22:31	529
48	22 | M	22:34	301
48	26 | M	22:34	663
48	27 | M	22:34	1942
51	26 | M	22:35	68
52	30 | M	22:41	1003
52	23 | M	22:41	1213
54	18 | M	22:42	950
54	62 | M	22:42	1849
56	18 | M	22:45	518
57	50 | F	22:47	1888
58	48 | M	22:48	500
59	19 | M	22:51	315
59	20 | M	22:51	2241
61	44 | F	22:54	1239
62	30 | M	22:59	766
63	33 | F	23:00	249
64	30 | M	23:03	972
65	27 |	23:04	879
66	21 | M	23:06	1957
67	18 | F	23:11	1940
68	26 | M	23:12	2186
69	24 | M	23:15	1592
70	17 | F	23:22	2226
71	31 | M	23:23	2235
72	14 | M	23:26	681
73	22 | M	23:28	1266
74	21 | M	23:29	1852
75	46 | M	23:32	881
76	14 | M	23:33	1374
77	29 |	23:34	1665
77	23 | F	23:34	1874
79	34 | F	23:36	288
80	12 | M	23:37	993
80	48 | M	23:37	436
82	21 | M	23:38	2236
83	38 | M	23:42	487
84	20 | M	23:45	2245
85	46 | F	23:46	453
86	45 | M	23:50	402
87	14 | F	23:58	1910
88	29 | M	24:00	1742
89	56 | M	24:01	1562
90	36 | M	24:02	229
91	26 | F	24:04	329
92	16 | M	24:07	580
92	18 | M	24:07	383
94	22 | F	24:08	1579
95	13 | M	24:09	309
95	50 | M	24:09	1908
97	38 | M	24:11	135
98	66 | M	24:12	912
99	14 | M	24:13	1707
100	18 | M	24:14	1652
101	30 | M	24:17	38
101	21 | F	24:17	290
103	63 | M	24:20	1820
103	27 | M	24:20	1724
105	39 | M	24:22	713
106	34 | M	24:25	1951
107	52 | M	24:28	65
108	18 | M	24:30	394
109	19 | M	24:32	220
109	47 | M	24:32	1231
111	57 | M	24:34	3362
112	45 | M	24:39	1373
113	19 | M	24:43	614
113	29 | M	24:43	583
115	67 | M	24:44	1262
116	13 | M	24:46	523
117	28 | M	24:47	1344
117	64 | M	24:47	227
119	55 | M	24:53	522
120	46 | M	24:54	581
121	45 | M	24:56	1803
