name	region	le1960	le2019	GDP_PC1960	GDP_PC2019	population1960	population2019
Aruba	Americas	65.662	76.293	NA	NA	54211	106314
Afghanistan	Asia	32.446	64.833	NA	573.28755	8996973	38041754
Angola	Africa	37.524	61.147	NA	3111.1577	5454933	31825295
Albania	Europe	62.283	78.573	NA	5210.68829	1608800	2854191
Andorra	Europe	NA	NA	NA	45887.30213	13411	77142
United Arab Emirates	Asia	51.537	77.972	NA	41420.48303	92418	9770529
Argentina	Americas	65.055	76.667	5642.76514	9742.45542	20481779	44938712
Armenia	Asia	65.972	75.087	NA	4732.06951	1874121	2957731
American Samoa	Oceania	NA	NA	NA	NA	20123	55312
Antigua and Barbuda	Americas	61.968	77.016	NA	15704.26594	54131	97118
Australia	Oceania	70.81707	82.9	19378.32528	57183.37935	10276477	25365745
Austria	Europe	68.58561	81.79268	13031.03177	50536.66415	7047539	8879920
Azerbaijan	Asia	61.034	73.005	NA	5879.42661	3895397	10024283
Burundi	Africa	41.281	61.584	213.39688	208.07473	2797932	11530580
Belgium	Europe	69.70195	81.74634	13021.65232	47541.09604	9153489	11502704
Benin	Africa	37.271	61.771	711.93634	1259.80807	2431622	11801151
Burkina Faso	Africa	34.432	61.577	268.74411	822.20392	4829288	20321378
Bangladesh	Asia	45.379	72.591	372.03175	1287.8216	48013504	163046161
Bulgaria	Europe	69.247559999999993	74.91463	NA	9058.73528	7867374	6975761
Bahrain	Asia	51.869	77.292	NA	20912.98688	162427	1641172
Bahamas	Americas	64.74	73.918	17734.65312	28908.54857	109534	389482
Bosnia and Herzegovina	Europe	60.353	77.401	NA	6303.68866	3225668	3301000
Belarus	Europe	67.7081	74.22683	NA	6713.26155	8198000	9417849
Belize	Americas	59.981	74.623	1079.3833	4149.86191	92064	390353
Bermuda	Americas	NA	81.86659	33362.70762	94106.36125	44400	64027
Bolivia (Plurinational State of)	Americas	41.82	71.513	1005.40847	2579.89901	3656955	11513100
Brazil	Americas	54.143	75.881	3417.35244	11121.73992	72179226	211049527
Barbados	Americas	64.472	79.19	NA	16099.82841	230980	287025
Brunei Darussalam	Asia	54.81	75.86	NA	32327.40553	81702	433285
Bhutan	Asia	34.526	71.777	NA	3262.19897	223288	763092
Botswana	Africa	49.179	69.592	407.78231	8092.96709	502745	2303697
Central African Republic	Africa	36.249	53.283	599.70057	384.14556	1501668	4745185
Canada	Americas	71.13317	82.04878	16405.90534	51583.10488	17909009	37593384
Switzerland	Europe	71.31341	83.70488	NA	79402.50921	5327827	8575280
Chile	Americas	57.219	80.181	3611.91791	15091.45051	8132990	18952038
China	Asia	43.725	76.912	191.9572	8242.05464	667070000	1397715000
Côte d'Ivoire	Africa	36.095	57.783	1225.52528	1727.28369	3503553	25716544
Cameroon	Africa	41.785	59.292	957.26891	1518.31215	5176918	25876380
Congo, Democratic Republic of the	Africa	41.098	60.681	1038.93243	423.64026	15248251	86790567
Congo	Africa	45.721	64.57	1563.97773	2166.0941	1018253	5380508
Colombia	Americas	57.269	77.287	2339.44453	7838.20971	16057714	50339443
Comoros	Africa	41.447	64.321	NA	1399.38854	191121	850886
Cabo Verde	Africa	48.461	72.981	NA	3907.65337	201765	549935
Costa Rica	Americas	60.381	80.279	2911.05536	10046.94	1330782	5047561
Cuba	Americas	63.834	78.802	NA	NA	7141250	11333483
Cayman Islands	Americas	NA	NA	NA	NA	7865	64948
Cyprus	Asia	69.618	80.982	NA	32093.02658	572930	1198575
Czechia	Europe	70.34878	79.12927	NA	24261.07546	9602006	10671870
Germany	Europe	69.31002	80.94146	NA	47469.47708	72814900	83092962
Djibouti	Africa	44.038	67.112	NA	NA	83636	973560
Dominica	Americas	NA	NA	NA	6917.04973	60011	71808
Denmark	Europe	72.17659	81.20244	20537.54611	65867.00172	4579603	5814422
Dominican Republic	Americas	51.602	74.081	1323.8159	8002.44168	3294224	10738958
Algeria	Africa	46.141	76.88	2480.95137	4699.7634	11057863	43053054
Ecuador	Americas	52.982	77.01	2238.00944	5097.06864	4543666	17373662
Egypt	Africa	48.042	71.99	578.59958	3010.15292	26632894	100388073
Eritrea	Africa	38.419	66.321	NA	NA	1007590	NA
Spain	Europe	69.10927	83.48537	7375.7029	33352.32896	30455000	47133521
Estonia	Europe	67.9029	78.497559999999993	NA	20851.17736	1211537	1326898
Ethiopia	Africa	38.419	66.597	NA	602.63407	22151278	112078730
